X,Y,Z,Normal_X,Normal_Y,Normal_Z,Feed_Rate,Is_Rapid
-134.406916,13.801255,-0.698449,-0.124929,0.990747,-0.053046,50.00,False
-134.510210,13.197714,2.637216,-0.145588,0.984784,0.094896,50.00,False
-134.692358,12.843324,6.572848,-0.182017,0.913906,0.362830,50.00,False
-134.454504,12.317044,10.218260,-0.134447,0.808650,0.572721,50.00,False
-134.441305,12.000696,13.429946,-0.131807,0.705972,0.695867,50.00,False
-134.582970,11.056100,16.750769,-0.160140,0.517052,0.840840,50.00,False
-134.445093,10.726752,19.448762,-0.132564,0.490591,0.861247,50.00,False
-134.645471,12.130422,18.101408,-0.172640,0.982307,0.072585,50.00,False
-136.874179,10.526733,21.294175,-0.618381,0.762077,0.191947,50.00,False
-137.859624,9.491734,21.003964,-0.815470,0.431928,-0.385287,50.00,False
-138.278696,8.774786,23.882944,-0.899285,0.288539,-0.328682,50.00,False
-138.342822,9.295506,27.533761,-0.912110,0.392683,-0.117710,50.00,False
-138.337300,9.386867,30.546165,-0.911006,0.410955,-0.034421,50.00,False
-138.306774,9.380033,33.892868,-0.904900,0.409588,0.115728,50.00,False
-137.749917,9.854708,37.245863,-0.793529,0.546763,0.267136,50.00,False
-137.374747,9.631134,40.912968,-0.718495,0.502049,0.481365,50.00,False
-137.394626,8.797816,44.125148,-0.722471,0.335385,0.604609,50.00,False
-137.394626,8.797816,46.721105,-0.722471,0.335385,0.604609,50.00,False
-137.394626,8.797816,49.317063,-0.722471,0.335385,0.604609,50.00,False
-136.488446,9.705340,52.502897,-0.541235,0.430042,0.722585,50.00,False
-136.137038,9.412747,55.486472,-0.470953,0.371523,0.800108,50.00,False
-136.137038,9.412747,58.082430,-0.470953,0.371523,0.800108,50.00,False
-136.031426,9.286900,60.793945,-0.449831,0.346354,0.823220,50.00,False
-135.769054,8.562599,63.629738,-0.397356,0.288342,0.871187,50.00,False
-135.769054,8.562599,66.225696,-0.397356,0.288342,0.871187,50.00,False
-135.318513,9.047163,68.983881,-0.307248,0.298406,0.903633,50.00,False
-135.039019,8.322186,71.749689,-0.251349,0.240259,0.937603,50.00,False
-130.823133,8.285858,71.798769,-0.208172,0.243026,0.947419,200.00,True
-130.823133,8.285858,71.798769,-0.208172,0.243026,0.947419,50.00,False
-130.823133,8.336024,69.202812,-0.208172,0.243026,0.947419,50.00,False
-131.039019,8.322186,66.557774,-0.251349,0.240259,0.937603,50.00,False
-131.039019,8.756426,63.961817,-0.251349,0.240259,0.937603,50.00,False
-131.039019,8.322186,61.365859,-0.251349,0.240259,0.937603,50.00,False
-131.513822,9.405271,58.392191,-0.346310,0.370028,0.862061,50.00,False
-131.696369,9.159422,55.630882,-0.382819,0.407706,0.828990,50.00,False
-131.974437,9.696662,52.840701,-0.438433,0.428306,0.790146,50.00,False
-131.974437,9.696662,50.244744,-0.438433,0.428306,0.790146,50.00,False
-132.188781,10.025580,47.318223,-0.481302,0.494090,0.724033,50.00,False
-132.188781,10.025580,44.722265,-0.481302,0.494090,0.724033,50.00,False
-133.265212,9.317058,41.342687,-0.696588,0.439233,0.567309,50.00,False
-133.364264,10.102224,37.721535,-0.716398,0.596266,0.362270,50.00,False
-133.572531,10.425742,34.345378,-0.758052,0.618730,0.206230,50.00,False
-133.877695,10.195735,30.553753,-0.819085,0.572728,-0.032904,50.00,False
-133.737759,10.282318,27.315906,-0.791097,0.590045,-0.161281,50.00,False
-133.434780,10.504829,23.410105,-0.730502,0.535935,-0.423250,50.00,False
-132.724904,9.043383,19.198143,-0.588526,0.310560,-0.746451,50.00,False
-132.761189,10.656073,21.112019,-0.595783,0.787945,0.155516,50.00,False
-130.053397,12.199056,18.091197,-0.054225,0.996034,0.070543,50.00,False
-130.519423,11.563352,19.117788,-0.147430,0.588350,0.795053,50.00,False
-130.567711,11.824094,16.305175,-0.157088,0.640498,0.751721,50.00,False
-130.686513,12.755341,13.403871,-0.180848,0.700210,0.690652,50.00,False
-130.664420,13.438631,9.945623,-0.176430,0.836868,0.518194,50.00,False
-130.682922,13.648893,6.431095,-0.180130,0.925028,0.334480,50.00,False
-130.724419,13.917568,2.566401,-0.188429,0.978763,0.080732,50.00,False
-130.825602,13.759056,-0.750600,-0.208666,0.975925,-0.063476,50.00,False
-130.894615,13.864848,-4.146324,-0.222469,0.948993,-0.223430,50.00,False
-131.496282,13.074381,-8.159721,-0.342802,0.790899,-0.506917,50.00,False
-130.961994,11.696670,-12.340368,-0.235945,0.515357,-0.823855,50.00,False
-130.961994,11.696670,-14.936325,-0.235945,0.515357,-0.823855,50.00,False
-130.868853,11.377401,-17.746569,-0.217316,0.448980,-0.866712,50.00,False
-131.292501,13.731698,-16.506441,-0.302046,0.948087,-0.099495,50.00,False
-128.770538,14.441020,-18.598599,0.202347,0.979313,0.001265,50.00,False
-131.859133,12.214460,-16.878933,-0.415372,0.283368,0.864389,50.00,False
-131.779583,13.597473,-19.779828,-0.399462,0.441560,0.803402,50.00,False
-131.779583,13.005424,-22.375786,-0.399462,0.441560,0.803402,50.00,False
-132.592207,13.996174,-26.367012,-0.561987,0.639711,0.524348,50.00,False
-132.753522,14.618216,-30.329829,-0.594250,0.764119,0.250976,50.00,False
-132.556666,15.265280,-33.748990,-0.554879,0.827439,0.086335,50.00,False
-132.946256,14.938198,-37.463815,-0.632797,0.762023,-0.137438,50.00,False
-132.153164,14.411365,-42.304975,-0.474178,0.656656,-0.586479,50.00,False
-131.799835,14.107503,-45.440210,-0.403513,0.595884,-0.694334,50.00,False
-131.991671,14.079625,-48.253916,-0.441880,0.510166,-0.737884,50.00,False
-131.884518,14.008292,-50.959487,-0.420449,0.495899,-0.759807,50.00,False
-131.884518,14.008292,-53.555445,-0.420449,0.495899,-0.759807,50.00,False
-131.820685,12.353220,-56.776152,-0.407683,0.225833,-0.884757,50.00,False
-130.972129,12.229254,-59.699517,-0.237971,0.201040,-0.950238,50.00,False
-130.972129,12.229254,-62.295475,-0.237971,0.201040,-0.950238,50.00,False
-130.972129,12.229254,-64.891432,-0.237971,0.201040,-0.950238,50.00,False
-130.972129,12.229254,-67.487390,-0.237971,0.201040,-0.950238,50.00,False
-130.826450,12.117428,-70.139606,-0.208836,0.178674,-0.961490,50.00,False
-130.826450,12.296599,-72.735564,-0.208836,0.178674,-0.961490,50.00,False
-130.826450,12.117428,-75.331521,-0.208836,0.178674,-0.961490,50.00,False
-130.624872,12.154084,-77.959974,-0.168520,0.186006,-0.967989,50.00,False
-130.455385,12.240187,-80.565150,-0.134623,0.203226,-0.969833,50.00,False
-130.455385,12.240187,-83.161108,-0.134623,0.203226,-0.969833,50.00,False
-130.314421,12.058843,-85.808916,-0.106430,0.166957,-0.980203,50.00,False
-130.314421,12.058843,-88.404873,-0.106430,0.166957,-0.980203,50.00,False
-130.123530,11.805334,-91.054173,-0.068252,0.116256,-0.990872,50.00,False
-125.994285,11.947899,-91.065537,-0.042403,0.108934,-0.993144,200.00,True
-125.994285,11.947899,-91.065537,-0.042403,0.108934,-0.993144,50.00,False
-126.123530,11.984504,-88.458216,-0.068252,0.116256,-0.990872,50.00,False
-126.123530,11.984504,-85.862258,-0.068252,0.116256,-0.990872,50.00,False
-126.123530,11.984504,-83.266301,-0.068252,0.116256,-0.990872,50.00,False
-126.123530,11.984504,-80.670343,-0.068252,0.116256,-0.990872,50.00,False
-126.123530,11.984504,-78.074386,-0.068252,0.116256,-0.990872,50.00,False
-126.123530,11.805334,-75.478429,-0.068252,0.116256,-0.990872,50.00,False
-126.314421,12.058843,-72.829129,-0.106430,0.166957,-0.980203,50.00,False
-126.314421,12.238014,-70.233171,-0.106430,0.166957,-0.980203,50.00,False
-126.455385,12.240187,-67.585363,-0.134623,0.203226,-0.969833,50.00,False
-126.455385,12.240187,-64.989406,-0.134623,0.203226,-0.969833,50.00,False
-126.455385,12.240187,-62.393448,-0.134623,0.203226,-0.969833,50.00,False
-126.523101,12.601387,-59.697445,-0.148166,0.275466,-0.949824,50.00,False
-126.641263,12.618510,-57.076523,-0.171798,0.278891,-0.944831,50.00,False
-126.737404,12.059620,-54.413397,-0.191026,0.309852,-0.931397,50.00,False
-126.964180,13.609997,-51.392519,-0.236382,0.477188,-0.846413,50.00,False
-127.416988,14.239375,-48.202566,-0.326943,0.603064,-0.727614,50.00,False
-127.457839,14.423913,-45.425907,-0.335113,0.639971,-0.691474,50.00,False
-127.726559,13.827034,-42.569364,-0.388857,0.663335,-0.639356,50.00,False
-127.834263,13.923759,-38.673566,-0.410398,0.829239,-0.379388,50.00,False
-128.370543,12.512878,-33.793541,-0.517654,0.852079,0.077425,50.00,False
-127.765985,13.696023,-29.627834,-0.396743,0.830314,0.391375,50.00,False
-127.461896,14.736749,-26.407640,-0.335925,0.787826,0.516222,50.00,False
-127.390063,13.587272,-22.567503,-0.321558,0.557930,0.765058,50.00,False
-127.286918,13.330581,-19.757016,-0.300929,0.506592,0.807964,50.00,False
-127.171651,12.207924,-16.609510,-0.277876,0.282061,0.918274,50.00,False
-128.328477,13.845494,-18.471123,-0.509241,0.860208,0.026760,50.00,False
-123.419298,13.536977,-15.878843,0.472595,0.880896,0.026024,50.00,False
-126.658508,11.072001,-18.057153,-0.175247,0.326442,-0.928829,50.00,False
-126.180242,11.889249,-15.157761,-0.079594,0.489892,-0.868142,50.00,False
-126.242584,12.886267,-11.814129,-0.092062,0.689295,-0.718607,50.00,False
-126.242584,12.578975,-9.218172,-0.092062,0.689295,-0.718607,50.00,False
-126.651086,13.054446,-4.833229,-0.173763,0.916309,-0.360811,50.00,False
-126.700209,13.778071,-0.834119,-0.183588,0.979728,-0.080180,50.00,False
-126.632780,14.135751,2.832060,-0.170102,0.976292,0.133864,50.00,False
-126.764686,13.837776,6.498391,-0.196483,0.916697,0.347939,50.00,False
-126.591343,13.377715,10.064411,-0.161814,0.824685,0.541952,50.00,False
-126.777582,12.295565,13.789789,-0.199062,0.608936,0.767836,50.00,False
-126.583430,12.007097,16.640643,-0.160232,0.551242,0.818815,50.00,False
-126.413753,10.918633,19.538533,-0.126296,0.459406,0.879201,50.00,False
-127.027852,11.844372,18.058664,-0.249116,0.966354,0.064036,50.00,False
-127.249385,9.583748,16.118088,-0.293423,0.450331,-0.843270,50.00,False
-127.374660,10.457857,18.989184,-0.318478,0.526541,-0.788243,50.00,False
-127.660190,10.349912,21.640611,-0.375584,0.504952,-0.777149,50.00,False
-128.130646,11.993114,26.668617,-0.469675,0.833592,-0.290739,50.00,False
-128.428412,11.572631,30.592645,-0.529228,0.848108,-0.025125,50.00,False
-128.272878,11.302301,34.459956,-0.498121,0.836282,0.229146,50.00,False
-128.218103,11.419809,37.942668,-0.487166,0.772936,0.406497,50.00,False
-127.834044,10.846604,41.661525,-0.410354,0.658295,0.631076,50.00,False
-127.780994,10.813828,44.513597,-0.399744,0.612105,0.682299,50.00,False
-127.607265,10.176130,47.545104,-0.364999,0.524200,0.769409,50.00,False
